,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,batemans bay,0,AU,1513967978,100,-35.71,150.18,63.25,4.61
1,alice town,0,BS,1513967978,100,25.72,-79.3,75.36,6.55
2,abay,0,KZ,1513965600,83,49.63,72.87,-5.81,6.71
3,vestmanna,92,FO,1513966800,100,62.16,-7.17,48.2,19.46
4,price,1,US,1513965180,58,39.6,-110.81,24.8,8.05
5,qaanaaq,0,GL,1513967980,96,77.48,-69.36,-7.63,7.9
6,grindavik,75,IS,1513965600,80,63.84,-22.43,39.2,31.09
7,machinga,36,MW,1513967981,83,-15.18,35.3,76.62,2.37
8,toliary,,,,,,,,
9,nanakuli,40,US,1513966560,93,21.39,-158.15,69.8,10.29
10,gillette,90,US,1513965180,85,44.29,-105.5,19.4,10.29
11,leo,0,BF,1513967982,20,11.1,-2.1,80.58,10.31
12,novosheshminsk,80,RU,1513967982,88,55.06,51.22,15.28,7.4
13,inverness,20,GB,1513966800,93,57.48,-4.23,51.8,25.28
14,salta,40,AR,1513965600,51,-24.79,-65.41,86,2.24
15,qasigiannguit,20,GL,1513965000,39,68.82,-51.19,8.6,13.87
16,the valley,40,AI,1513965600,58,18.22,-63.06,84.2,12.75
17,fairbanks,1,US,1513965480,83,64.84,-147.72,-2.21,4.27
18,valdivia,75,CL,1513965600,51,-39.81,-73.25,60.8,12.75
19,almaznyy,44,RU,1513967985,90,48.03,40.04,25.81,8.12
20,gandorhun,12,SL,1513967986,35,8.44,-10.86,83.86,5.84
21,raychikhinsk,48,RU,1513967986,75,49.8,129.4,-6.77,1.86
22,melito di porto salvo,20,IT,1513965300,100,37.92,15.77,55.4,13.87
23,baykit,64,RU,1513967987,81,61.68,96.39,2.5,5.55
24,micheweni,0,TZ,1513967987,98,-4.97,39.83,82.6,18.52
25,diamantino,24,BR,1513967988,79,-14.4,-56.44,83.46,5.88
26,kalat,20,PK,1513967988,77,29.03,66.58,27.39,1.59
27,bintulu,75,MY,1513965600,100,3.17,113.03,77,3.36
28,belmonte,0,PT,1513967989,73,40.36,-7.35,45.84,6.06
29,dubbo,0,AU,1513965600,77,-32.25,148.6,68,9.17
30,saginaw,90,US,1513966680,99,43.42,-83.95,33.8,4.72
31,doctor pedro p. pena,,,,,,,,
32,iranshahr,0,IR,1513965600,26,27.21,60.69,59,4.7
33,ternate,90,PH,1513965600,94,14.29,120.72,77,8.05
34,champerico,5,MX,1513965180,54,16.38,-93.6,82.4,5.82
35,ust-omchug,44,RU,1513967992,11,61.13,149.63,-45.7,2.53
36,avarua,40,CK,1513965600,74,-21.21,-159.78,78.8,16.11
37,samusu,,,,,,,,
38,bursol,,,,,,,,
39,ilinskiy,75,RU,1513965600,92,55.62,38.12,23,4.47
40,blonduos,,,,,,,,
41,sturgeon bay,90,US,1513965360,100,44.83,-87.38,32,5.82
42,mayo,20,CA,1513965600,74,63.59,-135.9,-25.61,3.83
43,maputo,40,MZ,1513965600,83,-25.97,32.57,78.8,20.8
44,pangai,75,TO,1513965600,83,-19.8,-174.35,77,2.24
45,karpogory,92,RU,1513967996,86,64,44.44,26.94,4.5
46,ilam,75,IR,1513965600,46,33.64,46.42,53.6,4.7
47,kant,0,KG,1513967997,79,42.89,74.85,8.26,2.53
48,bwanga,12,TZ,1513967997,86,-3.03,31.76,66.54,2.75
49,oktyabrskaya,,,,,,,,
50,agaro,0,ET,1513967997,50,7.86,36.59,53.08,2.26
51,ondangwa,64,NA,1513967998,52,-17.91,15.98,78.69,3.09
52,uglovskoye,20,RU,1513967998,77,51.36,80.19,7.59,8.63
53,teahupoo,75,PF,1513965600,74,-17.83,-149.27,84.2,5.82
54,saint george,90,GR,1513965000,84,39.45,22.34,35.6,16.11
55,nabire,0,ID,1513968000,95,-3.36,135.5,68.38,1.97
56,tabulbah,,,,,,,,
57,ornskoldsvik,0,SE,1513966800,85,63.29,18.72,24.8,12.75
58,walvis bay,0,NA,1513968002,100,-22.95,14.51,62.85,9.86
59,bajil,24,ES,1513968002,62,38.23,-2.07,49.08,10.13
60,opuwo,32,NA,1513968002,31,-18.06,13.84,80.31,10.58
61,liverpool,90,GB,1513966800,100,53.41,-2.98,48.2,4.7
62,rajauri,,,,,,,,
63,hualmay,12,PE,1513968003,69,-11.1,-77.61,75,5.1
64,mazara del vallo,20,IT,1513965300,76,37.65,12.59,51.8,12.75
65,trofors,75,NO,1513966800,92,65.54,13.39,35.6,4.7
66,grande prairie,40,CA,1513965600,78,55.17,-118.79,12.2,14.99
67,barre,90,US,1513967220,92,44.2,-72.5,17.6,2.98
68,felipe carrillo puerto,20,MX,1513968006,61,19.58,-88.05,83.64,8.3
69,capoterra,0,IT,1513966800,81,39.18,8.97,55.4,11.41
70,tecoanapa,20,MX,1513964520,66,16.99,-99.26,87.8,8.05
71,sao tome,,,,,,,,
72,reo,36,BF,1513968007,21,12.32,-2.47,76.66,10.58
73,nara,90,JP,1513966800,70,34.68,135.8,48.2,6.93
74,saint-augustin,90,FR,1513967400,100,44.83,-0.61,48.2,1.25
75,lewistown,90,US,1513966500,72,40.39,-90.15,39.2,8.05
76,svetlaya,0,RU,1513968009,100,46.54,138.33,20.19,5.39
77,tehachapi,1,US,1513965480,14,35.13,-118.45,51.8,2.19
78,campina verde,80,BR,1513968010,92,-19.54,-49.49,76.89,4.83
79,clarksburg,90,US,1513967580,62,39.28,-80.34,57.2,6.93
80,hit,80,IQ,1513968011,84,33.64,42.83,55.29,2.82
81,mitsamiouli,20,KM,1513965600,83,-11.38,43.28,80.6,2.24
82,galveston,90,US,1513966500,100,40.58,-86.19,42.8,5.82
83,mackay,75,CA,1513965600,78,53.65,-115.58,17.6,13.87
84,dourbali,20,TD,1513968013,27,11.81,15.86,84.31,8.01
85,dongsheng,64,CN,1513968014,79,29.72,112.52,42.96,2.86
86,yarim,0,YE,1513968014,34,14.3,44.38,33.78,3.6
87,salamiyah,88,SY,1513968015,58,35.01,37.05,51.78,4.76
88,agutaya,92,PH,1513968015,100,11.15,120.94,81.12,35.3
89,yuzhno-yeniseyskiy,,,,,,,,
90,kathu,0,ZA,1513968016,47,-27.7,23.05,73.74,5.21
91,kokuy,0,RU,1513968016,52,52.2,117.55,-14.2,3.87
92,beterou,8,BJ,1513968017,35,9.2,2.26,83.86,3.2
93,mudon,0,MM,1513968017,89,16.26,97.73,68.38,3.04
94,kopavogur,75,IS,1513965600,95,64.11,-21.91,39.2,16.11
95,mehamn,75,NO,1513965000,86,71.03,27.85,33.8,24.16
96,nguiu,,,,,,,,
97,ruteng,68,ID,1513968019,99,-8.61,120.46,71.85,3.38
98,talaya,92,RU,1513968019,84,55.79,84.89,10.47,9.53
99,lincoln,40,GB,1513966800,100,53.23,-0.54,50,6.93
100,birao,0,CF,1513968020,31,10.3,22.78,80.53,6.06
101,stornoway,,,,,,,,
102,sovetskiy,88,RU,1513968020,93,56.76,48.47,19.96,7.07
103,cascais,0,PT,1513965600,62,38.7,-9.42,57.2,10.29
104,ashdod,0,IL,1513966800,48,31.8,34.65,69.8,3.36
105,valparaiso,90,US,1513966500,86,41.47,-87.06,39.2,4.7
106,millinocket,1,US,1513965360,56,45.66,-68.71,12.2,2.08
107,rognan,75,NO,1513966800,92,67.1,15.4,33.8,14.99
108,nautla,48,MX,1513968023,99,20.22,-96.78,76.21,7.11
109,leshukonskoye,88,RU,1513968024,85,64.9,45.76,27.16,4.88
110,uhlove,76,UA,1513968024,100,44.82,33.6,36.7,3.53
111,smidovich,0,RU,1513968025,57,48.6,133.81,-6.46,4.38
112,urubicha,92,BO,1513968025,85,-15.63,-63.08,79.63,5.77
113,palmer,0,AU,1513965600,58,-34.85,139.16,59,4.7
114,gedo,0,ET,1513968026,62,9.01,37.45,49.71,2.08
115,kazalinsk,,,,,,,,
116,bosanska dubica,20,BA,1513965600,85,45.18,16.81,32,2.24
117,baguanos,40,CU,1513965060,51,20.75,-76.03,84.2,12.75
118,iida,0,JP,1513968027,65,35.45,137.9,5.7,1.59
119,tual,64,ID,1513968027,100,-5.67,132.75,83.28,11.14
